playerId,name,team,position,games_played,I_F_goals,I_F_shotsOnGoal,I_F_xGoals,icetime,goals_per_game,shots_per_game,shooting_pct
8478474,Lawson Crouse,ARI,L,81,23.0,172.0,21.53,81731.0,0.2839506172839506,2.123456790123457,0.13372093023255813
8482460,Matt Rempe,NYR,C,17,1.0,12.0,1.51,5738.0,0.058823529411764705,0.7058823529411765,0.08333333333333333
8475786,Zach Hyman,EDM,L,80,54.0,290.0,52.51,93602.0,0.675,3.625,0.18620689655172415
8482713,Mackie Samoskevich,FLA,R,7,0.0,11.0,0.78,5056.0,0.0,1.5714285714285714,0.0
8471686,Marc Staal,PHI,D,35,1.0,20.0,1.42,29005.0,0.02857142857142857,0.5714285714285714,0.05
8476875,Mike Matheson,MTL,D,82,11.0,187.0,10.16,125720.0,0.13414634146341464,2.2804878048780486,0.058823529411764705
8477932,Aaron Ekblad,FLA,D,51,4.0,98.0,8.22,63842.0,0.0784313725490196,1.9215686274509804,0.04081632653061224
8479981,Jonah Gadjovich,FLA,L,39,2.0,29.0,3.3,17389.0,0.05128205128205128,0.7435897435897436,0.06896551724137931
8477353,Tyler Motte,TBL,C,69,6.0,83.0,7.87,51514.0,0.08695652173913043,1.2028985507246377,0.07228915662650602
8481704,Juuso Parssinen,NSH,C,44,8.0,54.0,9.06,38543.0,0.18181818181818182,1.2272727272727273,0.14814814814814814
8481806,Louis Crevier,CHI,D,24,0.0,18.0,0.38,22584.0,0.0,0.75,0.0
8480070,Ian Mitchell,BOS,D,13,0.0,11.0,0.52,11940.0,0.0,0.8461538461538461,0.0
8478439,Travis Konecny,PHI,R,76,33.0,244.0,26.25,90472.0,0.4342105263157895,3.210526315789474,0.13524590163934427
8479353,Brett Howden,VGK,C,72,8.0,76.0,10.36,57142.0,0.1111111111111111,1.0555555555555556,0.10526315789473684
8480844,Grigori Denisenko,VGK,L,6,0.0,5.0,0.66,3905.0,0.0,0.8333333333333334,0.0
8475172,Nazem Kadri,CGY,C,82,29.0,277.0,30.63,90655.0,0.35365853658536583,3.3780487804878048,0.10469314079422383
8474709,Matt Martin,NYI,L,57,4.0,48.0,5.04,31849.0,0.07017543859649122,0.8421052631578947,0.08333333333333333
8478178,Darren Raddysh,TBL,D,82,6.0,101.0,4.46,94000.0,0.07317073170731707,1.2317073170731707,0.0594059405940594
8476460,Mark Scheifele,WPG,C,74,25.0,154.0,22.56,89624.0,0.33783783783783783,2.081081081081081,0.16233766233766234
8479390,Taylor Raddysh,CHI,R,73,5.0,120.0,13.71,69567.0,0.0684931506849315,1.643835616438356,0.041666666666666664
8474034,Pat Maroon,BOS,L,51,4.0,56.0,6.28,39296.0,0.0784313725490196,1.0980392156862746,0.07142857142857142
8481598,Philip Broberg,EDM,D,12,0.0,6.0,0.16,8365.0,0.0,0.5,0.0
8476392,Adam Lowry,WPG,C,81,12.0,119.0,21.07,78266.0,0.14814814814814814,1.4691358024691359,0.10084033613445378
8480027,Jason Robertson,DAL,L,82,29.0,231.0,24.17,90158.0,0.35365853658536583,2.817073170731707,0.12554112554112554
8471677,Jack Johnson,COL,D,80,3.0,76.0,3.44,71651.0,0.0375,0.95,0.039473684210526314
8480891,Michael Kesselring,ARI,D,65,5.0,76.0,3.06,61592.0,0.07692307692307693,1.1692307692307693,0.06578947368421052
